iter	Passed	Remaining
0	1	133
1	2	117
2	3	110
3	4	101
4	5	99
5	6	97
6	7	95
7	8	95
8	9	94
9	10	93
10	11	92
11	12	90
12	13	90
13	14	89
14	15	88
15	16	86
16	17	85
17	18	84
18	19	83
19	20	82
20	21	81
21	22	80
22	23	79
23	24	78
24	25	76
25	26	75
26	27	75
27	28	74
28	29	73
29	30	72
30	31	71
31	32	70
32	33	68
33	34	67
34	35	66
35	37	65
36	38	64
37	39	63
38	40	62
39	41	61
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	55	47
54	56	46
55	57	45
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	95	7
93	96	6
94	97	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
